model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
2,go,26.3839153338124,15.3382251162386,72.9685059549483,0.167797539321278,,,,,,0.0930917310561238,,,,,,0.0365032566132239,25.637078417109,0,1,-3.98949844754208e-05,0,0,0
2,stop,4.455901426669,,18.5116647390863,0.371375463675389,,,,,,NaN,,,,,,0.0285081280512756,16.7843556740447,0,1,-0.000132744702525773,0,-0.215318508723381,0
43,go,0.136564061447799,,49.5962862149354,0.158088568563543,0.133382456079231,0.116417028240421,,,,0.0442777539817484,0.0663736187164592,0.079250865957884,,,,0.00133779575687606,46.2479265806923,0,1,-0.000338712829135767,0,0,0
43,stop,13.5672391484615,,21.0160738733917,0.373522896499612,,,,,,NaN,,,,,,0.0563271845428457,24.1355407744609,0,1,-1.2333738726519e-05,0,-0.532645575465526,0
79,go,19.5359639184303,2.01270603217501,58.2635807253901,0.256022032813486,0.236290119905052,0.214937801025817,,,,0.129099776894257,0.157151039886898,0.180035680647882,,,,0.00643065796921731,49.2880422096181,0,1,-0.00279759761448579,0,0,0
79,stop,6.66298846166423,,19.9293859740561,0.382698278546239,,,,,,NaN,,,,,,0.0275874377915894,16.4581038719311,0,1,-5.31335468647448e-06,0,-0.240095178752161,0
352,go,44.7410868440658,,89.9654190697896,0.228175489698913,0.210383661099351,0.202149934224904,0.18543793982512,0.177200035284319,0.155224894899448,0.0602945328083895,0.0789860005319729,0.0757488245754002,0.106347173958496,0.106174416420564,0.128739271216939,0.0357168990846503,64.8272039962447,0,1,-1.18002663914568e-07,0,0,0
352,stop,9.62760615255537,,24.3161145523155,0.416437499901095,,,,,,NaN,,,,,,0.0599775358548706,8.20250929476622,0,1,-0.000101432716512606,0,-0.378543931033731,0
478,go,46.7372869176989,39.2239698891939,89.0334889723803,0.219730227426518,0.214715082990422,0.195633127670909,0.188198950314858,0.171976609129599,0.16051730867365,0.069034465101773,0.0746289382014602,0.0797518657353141,0.0987266523161287,0.114281062127483,0.123979301607162,0.0321235261033375,64.1004220539812,0,1,-1.35461941967903e-06,0,0,0
478,stop,6.78088268797072,,17.5485404508287,0.354741963946294,,,,,,NaN,,,,,,0.0367611235512724,20.4558391313403,0,1,-0.000422055472004832,0,-0.0754487282830445,0
